# tool-id <tab> bio.tools-id
abyss-pe	abyss
hicexplorer_hiccompartmentspolarization	hicexplorer
hicexplorer_hiccorrelate	hicexplorer
hicexplorer_hicdetectloops	hicexplorer
hicexplorer_hicmergeloops	hicexplorer
hicexplorer_hicvalidatelocations	hicexplorer
hicexplorer_hiccorrectmatrix	hicexplorer
hicexplorer_hicpca	hicexplorer
hicexplorer_hicplotaverageregions	hicexplorer
hicexplorer_hicplotdistvscounts	hicexplorer
hicexplorer_hicaverageregions	hicexplorer
hicexplorer_hicplotsvl	hicexplorer
schicexplorer_schiccorrectmatrices	hicexplorer
schicexplorer_schicplotconsensusmatrices	hicexplorer
schicexplorer_schicplotclusterprofiles	hicexplorer
schicexplorer_schicnormalize	hicexplorer
schicexplorer_schiccreatebulkmatrix	hicexplorer
schicexplorer_schicmergetoscool	hicexplorer
schicexplorer_schicmergematrixbins	hicexplorer
schicexplorer_schicinfo	hicexplorer
schicexplorer_schicdemultiplex	hicexplorer
schicexplorer_schicconsensusmatrices	hicexplorer
schicexplorer_schicclustersvl	hicexplorer
schicexplorer_schicclusterminhash	hicexplorer
schicexplorer_schicclustercompartments	hicexplorer
schicexplorer_schiccluster	hicexplorer
schicexplorer_schicadjustmatrix	hicexplorer
hicexplorer_hicplottads	hicexplorer
stacks2_shortreads	stacks
stacks2_refmap	stacks
stacks2_denovomap	stacks
stacks2_procrad	stacks
stacks2_populations	stacks
stacks2_gstacks	stacks
stacks2_ustacks	stacks
stacks2_kmerfilter	stacks
stacks2_clonefilter	stacks
stacks2_tsv2bam	stacks
stacks2_sstacks	stacks
BayeScan	bayescan
stacks2_cstacks	stacks
NSPDK_candidateClust	graphclust
structure_to_gspan	graphclust
preproc	graphclust
preMloc	graphclust
nspdk_sparse	graphclust
locarna_best_subtree	graphclust
gspan	graphclust
glob_report	graphclust
cmFinder	graphclust
graphclust_align_cluster	graphclust
graphclust_aggregate_alignments	graphclust
graphclust_glob_report_no_align	graphclust
motifFinderPlot	graphclust
infernal_cmbuild	infernal
infernal_cmsearch	infernal
infernal_cmstat	infernal
customize_metaphlan_database	metaphlan
merge_metaphlan_tables	metaphlan
metabat2_jgi_summarize_bam_contig_depths	MetaBAT_2
est_abundance	bracken
kraken2	kraken2
kraken	kraken
kraken-report	kraken
kraken-mpa-report	kraken
metaphlan	metaphlan
extract_metaphlan_database	metaphlan
metabat2	MetaBAT_2
kraken-translate	kraken
kraken-filter	kraken
taxonomy_krona_chart	krona
kraken_taxonomy_report	biopython
dada2_plotQualityProfile	dada2
dada2_mergePairs	dada2
dada2_assignTaxonomyAddspecies	dada2
dada2_makeSequenceTable	dada2
dada2_learnErrors	dada2
dada2_removeBimeraDenovo	dada2
dada2_dada	dada2
dada2_filterAndTrim	dada2
jellyfish	jellyfish
humann2	humann2
last_db	last
last_split	last
last_train	last
last_maf_convert	last
khmer_abundance_distribution_single	khmer
khmer_partition	khmer
khmer_count_median	khmer
khmer_abundance_distribution	khmer
khmer_filter_below_abundance_cutoff	khmer
khmer_filter_abundance	khmer
scoary	scoary
khmer_extract_partitions	khmer
khmer_normalize_by_median	khmer
mash_screen	mash
dada2_seqCounts	dada2
dada2_plotComplexity	dada2
humann2_join_tables	humann2
vsearch_search	vsearch
humann2_associate	humann2
humann2_barplot	humann2
humann2_genefamilies_genus_level	humann2
humann2_reduce_table	humann2
humann2_regroup_table	humann2
humann2_rename_table	humann2
humann2_renorm_table	humann2
humann2_rna_dna_norm	humann2
humann2_split_stratified_table	humann2
humann2_split_table	humann2
humann2_strain_profiler	humann2
humann2_unpack_pathways	humann2
metagene_annotator	metageneannotator
mash_sketch	mash
cat_contigs	cat_bins
cat_bins	cat_bins
cat_add_names	cat_bins
cat_summarise	cat_bins
cat_prepare	cat_bins
group_humann2_uniref_abundances_to_go	humann2
vsearch_sorting	vsearch
vsearch_chimera_detection	vsearch
vsearch_clustering	vsearch
vsearch_masking	vsearch
vsearch_alignment	vsearch
vsearch_dereplication	vsearch
vsearch_shuffling	vsearch
compare_humann2_output	humann2
combine_metaphlan2_humann2	humann2
format_metaphlan2_output	metaphlan
valet	valet
metaphlan2	metaphlan
metaphlan2krona	metaphlan
metaphlan_hclust_heatmap	metaphlan
metagenomeseq_normalizaton	metagenomeseq
qiime_collapse_samples	qiime
qiime_make_otu_table	qiime
qiime_pick_open_reference_otus	qiime
qiime_pick_closed_reference_otus	qiime
qiime_count_seqs	qiime
qiime_extract_barcodes	qiime
count_seqs	qiime
qiime_make_emperor	qiime
qiime_make_otu_heatmap	qiime
qiime_pick_rep_set	qiime
qiime_multiple_join_paired_ends	qiime
qiime_align_seqs	qiime
qiime_alpha_rarefaction	qiime
pick_open_reference_otus	qiime
pick_closed_reference_otus	qiime
qiime_core_diversity	qiime
qiime_alpha_diversity	qiime
qiime_split_libraries_fastq	qiime
qiime_filter_otus_from_otu_table	qiime
qiime_jackknifed_beta_diversity	qiime
qiime_filter_taxa_from_otu_table	qiime
qiime_pick_otus	qiime
qiime_compare_categories	qiime
qiime_plot_taxa_summary	qiime
qiime_upgma_cluster	qiime
qiime_filter_fasta	qiime
qiime_filter_alignment	qiime
qiime_assign_taxonomy	qiime
qiime_make_phylogeny	qiime
qiime_summarize_taxa	qiime
qiime_beta_diversity	qiime
qiime_split_libraries	qiime
qiime_filter_samples_from_otu_table	qiime
qiime_summarize_taxa_through_plots	qiime
qiime_multiple_split_libraries_fastq	qiime
qiime_beta_diversity_through_plots	qiime
qiime_validate_mapping_file	qiime
mothur_screen_seqs	mothur
mothur_make_contigs	mothur
mothur_get_label	mothur
mothur_chimera_vsearch	mothur
mothur_chimera_pintail	mothur
mothur_split_abund	mothur
mothur_mimarks_attributes	mothur
mothur_summary_single	mothur
mothur_chop_seqs	mothur
mothur_remove_otulabels	mothur
mothur_get_sabund	mothur
mothur_make_sra	mothur
mothur_make_group	mothur
mothur_trim_seqs	mothur
mothur_nmds	mothur
mothur_list_otulabels	mothur
mothur_create_database	mothur
mothur_deunique_tree	mothur
mothur_biom_info	mothur
mothur_pairwise_seqs	mothur
mothur_merge_count	mothur
mothur_pcr_seqs	mothur
mothur_taxonomy_to_krona	mothur
mothur_split_groups	mothur
mothur_classify_tree	mothur
mothur_make_fastq	mothur
mothur_pcoa	mothur
mothur_summary_shared	mothur
mothur_sort_seqs	mothur
mothur_remove_dists	mothur
mothur_make_lefse	mothur
mothur_cluster_classic	mothur
mothur_filter_seqs	mothur
mothur_unique_seqs	mothur
mothur_rename_seqs	mothur
mothur_cooccurrence	mothur
mothur_parse_list	mothur
mothur_get_group	mothur
mothur_make_design	mothur
mothur_get_dists	mothur
mothur_get_otulist	mothur
mothur_merge_groups	mothur
mothur_otu_association	mothur
mothur_merge_files	mothur
mothur_filter_shared	mothur
mothur_phylo_diversity	mothur
mothur_sffinfo	mothur
mothur_sub_sample	mothur
mothur_deunique_seqs	mothur
mothur_chimera_perseus	mothur
mothur_amova	mothur
mothur_align_check	mothur
mothur_align_seqs	mothur
mothur_classify_rf	mothur
mothur_dist_seqs	mothur
mothur_pre_cluster	mothur
mothur_libshuff	mothur
mothur_metastats	mothur
mothur_get_rabund	mothur
mothur_get_otus	mothur
mothur_otu_hierarchy	mothur
mothur_trim_flows	mothur
mothur_cluster_fragments	mothur
mothur_rarefaction_shared	mothur
mothur_classify_seqs	mothur
mothur_phylotype	mothur
mothur_unifrac_unweighted	mothur
mothur_tree_shared	mothur
mothur_get_otulabels	mothur
mothur_count_seqs	mothur
mothur_consensus_seqs	mothur
mothur_collect_shared	mothur
mothur_corr_axes	mothur
mothur_summary_seqs	mothur
mothur_anosim	mothur
mothur_remove_seqs	mothur
mothur_get_communitytype	mothur
mothur_cluster_split	mothur
mothur_summary_tax	mothur
mothur_fastq_info	mothur
mothur_unifrac_weighted	mothur
mothur_get_seqs	mothur
mothur_bin_seqs	mothur
mothur_degap_seqs	mothur
mothur_chimera_ccode	mothur
mothur_primer_design	mothur
mothur_seq_error	mothur
mothur_remove_groups	mothur
mothur_mantel	mothur
mothur_lefse	mothur
mothur_heatmap_bin	mothur
mothur_clearcut	mothur
mothur_get_sharedseqs	mothur
mothur_chimera_bellerophon	mothur
mothur_cluster	mothur
mothur_sens_spec	mothur
mothur_make_shared	mothur
mothur_chimera_slayer	mothur
mothur_remove_lineage	mothur
mothur_reverse_seqs	mothur
mothur_dist_shared	mothur
mothur_shhh_flows	mothur
mothur_get_lineage	mothur
mothur_merge_taxsummary	mothur
mothur_hcluster	mothur
mothur_make_lookup	mothur
mothur_remove_rare	mothur
mothur_collect_single	mothur
mothur_rarefaction_single	mothur
mothur_get_groups	mothur
mothur_chimera_check	mothur
mothur_heatmap_sim	mothur
mothur_get_relabund	mothur
mothur_make_biom	mothur
mothur_classify_otu	mothur
mothur_merge_sfffiles	mothur
mothur_summary_qual	mothur
mothur_venn	mothur
mothur_list_seqs	mothur
mothur_homova	mothur
mothur_pca	mothur
mothur_remove_otus	mothur
mothur_parsimony	mothur
mothur_shhh_seqs	mothur
mothur_get_oturep	mothur
mothur_count_groups	mothur
mothur_get_mimarkspackage	mothur
mothur_normalize_shared	mothur
mothur_indicator	mothur
mothur_get_coremicrobiome	mothur
mothur_chimera_uchime	mothur
obi_stat	obitools
obi_sort	obitools
obi_convert	obitools
obi_clean	obitools
obi_uniq	obitools
obi_grep	obitools
obi_annotate	obitools
obi_illumina_pairend	obitools
obi_ngsfilter	obitools
obi_tab	obitools
ivar_trim	ivar
ivar_removereads	ivar
ivar_variants	ivar
ivar_filtervariants	ivar
ivar_consensus	ivar
ivar_getmasked	ivar
cardinal_colocalization	cardinal
eggnog_mapper	eggnog-mapper-v2
proteinortho_summary	proteinortho
OpenPepXL	openms
XFDR	openms
PercolatorAdapter	openms
maxquant_mqpar	maxquant
proteinortho	proteinortho
cardinal_combine	cardinal
cardinal_spectra_plots	cardinal
cardinal_preprocessing	cardinal
cardinal_quality_report	cardinal
cardinal_mz_images	cardinal
cardinal_data_exporter	cardinal
cardinal_segmentations	cardinal
cardinal_filtering	cardinal
msstats	msstats
msstatstmt	msstats
maxquant	maxquant
cardinal_classification	cardinal
metaquantome_viz	metaQuantome
metaquantome_stat	metaQuantome
metaquantome_expand	metaQuantome
encyclopedia_fasta_to_prosit_csv	encylopeDIA
encyclopedia_quantify	encylopeDIA
encyclopedia_walnut	encylopeDIA
encyclopedia_searchtolib	encylopeDIA
encyclopedia_library_to_blib	encylopeDIA
pepquery	pepQuery
ConsensusID	openms
myrimatch	encyclopeDIA
encyclopedia_encyclopedia	encyclopeDIA
metaquantome_db	metaQuantome
maxquant_mqpar	maxquant
metaquantome_filter	metaQuantome
proteinortho_grab_proteins	proteinortho
cardinal_single_ion_segmentation	cardinal
PSMFeatureExtractor	openms
NovorAdapter	openms
LuciphorAdapter	openms
AssayGeneratorMetabo	openms
SiriusAdapter	openms
MSFraggerAdapter	openms
MSGFPlusAdapter	openms
PeakPickerHiRes	openms
RNAMassCalculator	openms
QualityControl	openms
RNPxlXICFilter	openms
OpenSwathConfidenceScoring	openms
MultiplexResolver	openms
OpenSwathFeatureXMLToTSV	openms
OpenSwathDIAPreScoring	openms
MapStatistics	openms
DigestorMotif	openms
FeatureLinkerLabeled	openms
XTandemAdapter	openms
SpectraFilterWindowMower	openms
OpenSwathWorkflow	openms
QCMerger	openms
IDMapper	openms
IDMassAccuracy	openms
IDRTCalibration	openms
IDSplitter	openms
MRMTransitionGroupPicker	openms
MapAlignerIdentification	openms
IsobaricAnalyzer	openms
ERPairFinder	openms
ClusterMassTraces	openms
ClusterMassTracesByPrecursor	openms
CometAdapter	openms
CompNovo	openms
CompNovoCID	openms
IDMerger	openms
MetaboliteSpectralMatcher	openms
RTEvaluation	openms
QCExporter	openms
SpectraFilterNormalizer	openms
InternalCalibration	openms
MassTraceExtractor	openms
PepNovoAdapter	openms
Digestor	openms
PeptideIndexer	openms
MapRTTransformer	openms
OpenSwathAssayGenerator	openms
DTAExtractor	openms
SequenceCoverageCalculator	openms
MetaProSIP	openms
IDConflictResolver	openms
PeakPickerWavelet	openms
ProteinQuantifier	openms
PeakPickerIterative	openms
Decharger	openms
FuzzyDiff	openms
MzMLSplitter	openms
FileConverter	openms
MassCalculator	openms
SpectraFilterNLargest	openms
MapAlignerPoseClustering	openms
QCEmbedder	openms
Epifany	openms
SpectraFilterThresholdMower	openms
SpectraMerger	openms
OpenSwathDecoyGenerator	openms
PTModel	openms
TargetedFileConverter	openms
TextExporter	openms
TOFCalibration	openms
TransformationEvaluation	openms
XMLValidator	openms
ProteinInference	openms
SvmTheoreticalSpectrumGeneratorTrainer	openms
IDRipper	openms
SpectraSTSearchAdapter	openms
SpectraFilterSqrtMower	openms
SpectraFilterMarkerMower	openms
SpecLibSearcher	openms
MascotAdapterOnline	openms
MapAlignerSpectrum	openms
SpecLibCreator	openms
SemanticValidator	openms
SimpleSearchEngine	openms
LabeledEval	openms
SeedListGenerator	openms
RTModel	openms
MaRaClusterAdapter	openms
RNPxlSearch	openms
PrecursorIonSelector	openms
FeatureFinderCentroided	openms
SpectraFilterParentPeakMower	openms
TICCalculator	openms
MRMMapper	openms
OMSSAAdapter	openms
EICExtractor	openms
MyriMatchAdapter	openms
IDFilter	openms
MSSimulator	openms
BaselineFilter	openms
NucleicAcidSearchEngine	openms
SpectraFilterBernNorm	openms
CVInspector	openms
RNADigestor	openms
DecoyDatabase	openms
ExternalCalibration	openms
FalseDiscoveryRate	openms
FeatureFinderIdentification	openms
FeatureFinderIsotopeWavelet	openms
FeatureFinderMetabo	openms
FeatureFinderMetaboIdent	openms
FeatureFinderMRM	openms
FeatureFinderMultiplex	openms
FeatureLinkerUnlabeled	openms
FeatureLinkerUnlabeledKD	openms
FeatureLinkerUnlabeledQT	openms
FFEval	openms
FidoAdapter	openms
FileFilter	openms
FileInfo	openms
FileMerger	openms
GNPSExport	openms
AccurateMassSearch	openms
DatabaseFilter	openms
DeMeanderize	openms
FeatureFinderSuperHirn	openms
OpenSwathMzMLFileCacher	openms
OpenSwathRewriteToFeatureXML	openms
IDPosteriorErrorProbability	openms
IDFileConverter	openms
IDScoreSwitcher	openms
MapAlignerTreeGuided	openms
MapNormalizer	openms
MascotAdapter	openms
MetaboliteAdductDecharger	openms
MRMPairFinder	openms
MSstatsConverter	openms
MzTabExporter	openms
NoiseFilterGaussian	openms
NoiseFilterSGolay	openms
OpenPepXLLF	openms
OpenSwathChromatogramExtractor	openms
OpenSwathAnalyzer	openms
OpenSwathFileSplitter	openms
OpenSwathRTNormalizer	openms
PhosphoScoring	openms
HighResPrecursorMassCorrector	openms
PrecursorMassCorrector	openms
QCCalculator	openms
CruxAdapter	openms
ConsensusMapNormalizer	openms
QCImporter	openms
SpectraFilterScaler	openms
QCShrinker	openms
QCExtractor	openms
ProteinResolver	openms
IDExtractor	openms
LowMemPeakPickerHiRes	openms
LowMemPeakPickerHiResRandomAccess	openms
proteomics_moff	moff
unipept	unipept
maldi_quant_peak_detection	maldi_quant
diapysef	diapasef
flashlfq	flashlfq
reactome_pathwaymatcher	PathwayMatcher
rawtools	rawtools
dia_umpire_se	DIA-Umpire
custom_pro_db	customprodb
maldi_quant_preprocessing	maldi_quant
megahit_contig2fastg	megahit
percolator_input_converters	percolator
percolator	percolator
pout2mzid	percolator
batched_set_list_creator	percolator
msgfplus	msgfplus
RTPredict	openms
PTPredict	openms
InspectAdapter	openms
InclusionExclusionListCreator	openms
LowMemPeakPickerHiRes_RandomAccess	openms
IDDecoyProbability	openms
RNPxl	openms
AdditiveSeries	openms
TopPerc	openms
RTPredict	openms
PTPredict	openms
morpheus	morpheus
metams_runGC	metams
InspectAdapter	openms
abims_xcms_refine	xcms
InclusionExclusionListCreator	openms
LowMemPeakPickerHiRes_RandomAccess	openms
IDDecoyProbability	openms
RNPxl	openms
metfrag_vis	metfrag
w4mcorcov	ropls
AdditiveSeries	openms
TopPerc	openms
morpheus	morpheus
sirius_csifingerid	sirius
metfrag	metfrag
mspurity_spectralmatching	mspurity
mspurity_purityx	mspurity
mspurity_dimspredictpuritysingle	mspurity
metams_runGC	metams
mspurity_createmsp	mspurity
mspurity_createdatabase	mspurity
mspurity_averagefragspectra	mspurity
mspurity_filterfragspectra	mspurity
mspurity_frag4feature	mspurity
mspurity_puritya	mspurity
mspurity_flagremove	mspurity
isoplot	xcms
abims_xcms_refine	xcms
NmrAnnotation	asics
w4mclassfilter	workflow4metabolomics
asca	metstat
wsdl_hmdb	hmdb
golm_ws_lib_search	gmd
abims_xcms_summary	xcms
abims_CAMERA_annotateDiffreport	camera
abims_xcms_fillPeaks	xcms
abims_xcms_retcor	xcms
abims_xcms_group	xcms
xcms_merge	xcms
xcms_plot_chromatogram	xcms
abims_xcms_xcmsSet	xcms
msnbase_readmsdata	msnbase
sirius_csifingerid	sirius
metfrag	metfrag
mspurity_spectralmatching	mspurity
mspurity_purityx	mspurity
mixomics_multilevel	mixomics
mspurity_dimspredictpuritysingle	mspurity
dimspy_merge_peaklists	mspurity
mspurity_createmsp	mspurity
massbank_ws_searchspectrum	massbank
Probmetab	probmetab
abims_CAMERA_combinexsAnnos	camera
profia	profia
mspurity_createdatabase	mspurity
mspurity_averagefragspectra	mspurity
NmrAlignment	speaq
gmx_energy	gromacs
gmx_get_builtin_file	gromacs
gmx_rg	gromacs
gmx_makendx	gromacs
gmx_restraints	gromacs
gmx_trj	gromacs
gmx_sim	gromacs
gmx_solvate	gromacs
gmx_em	gromacs
gmx_setup	gromacs
gromacs_extract_topology	gromacs
tleap	ambertools
rdconf	RDKit
mspurity_filterfragspectra	mspurity
docking	autodock
ctb_rdkit_descriptors	RDKit
acpype_Amber2Gromacs	gromacs
parmconv	ambertools
ambertools_acpype	ambertools
gmx_merge_topology_files	gromacs
mspurity_frag4feature	mspurity
mspurity_puritya	mspurity
mspurity_flagremove	mspurity
genform	workflow4metabolomics
NmrAnnotation	workflow4metabolomics
xcms_export_samplemetadata	xcms
tablemerge	workflow4metabolomics
intens_check	workflow4metabolomics
idchoice	workflow4metabolomics
normalization	workflow4metabolomics
mixmodel	workflow4metabolomics
asca	workflow4metabolomics
corrtable	workflow4metabolomics
wsdl_hmdb	workflow4metabolomics
bank_inhouse	workflow4metabolomics
lcmsmatching	workflow4metabolomics
golm_ws_lib_search	workflow4metabolomics
NMR_Preprocessing	workflow4metabolomics
NMR_Read	workflow4metabolomics
abims_xcms_summary	workflow4metabolomics
abims_CAMERA_annotateDiffreport	workflow4metabolomics
abims_xcms_fillPeaks	xcms
abims_xcms_retcor	xcms
abims_xcms_group	xcms
xcms_merge	xcms
xcms_plot_chromatogram	xcms
abims_xcms_xcmsSet	xcms
msnbase_readmsdata	workflow4metabolomics
lipidmaps	workflow4metabolomics
w4mjoinpn	workflow4metabolomics
generic_filter	workflow4metabolomics
quality_metrics	workflow4metabolomics
mixomics_multilevel	workflow4metabolomics
checkFormat	workflow4metabolomics
Determine_BC	workflow4metabolomics
Batch_correction	workflow4metabolomics
massbank_ws_searchspectrum	workflow4metabolomics
Probmetab	workflow4metabolomics
abims_CAMERA_combinexsAnnos	workflow4metabolomics
profia	workflow4metabolomics
NmrBucketing	workflow4metabolomics
NmrNormalization	workflow4metabolomics
NmrAlignment	workflow4metabolomics
gmx_energy	gromacs
gmx_get_builtin_file	gromacs
gmx_rg	gromacs
gmx_makendx	gromacs
gmx_restraints	gromacs
gmx_trj	gromacs
gmx_sim	gromacs
gmx_solvate	gromacs
gmx_em	gromacs
gmx_setup	gromacs
gromacs_extract_topology	gromacs
tleap	ambertools
rdconf	RDKit
docking	autodock_vina
ctb_rdkit_descriptors	RDKit
acpype_Amber2Gromacs	ambertools
parmconv	ambertools
ambertools_acpype	ambertools
gmx_merge_topology_files	gromacs
ambertools_parmchk2	ambertools
ambertools_antechamber	ambertools
mmpbsa_mmgbsa	ambertools
dpocket	fpocket
OpenPepXL	openms
fpocket	fpocket
prepare_box	autodock_vina
gmx_md	gromacs
sucos_docking_scoring	SuCOS
chembl	chembl
chembl_structure_pipeline	chembl
gmx_editconf	gromacs
openbabel_subsearch	open_babel
mdanalysis_extract_rmsd	mdanalysis
openbabel_addh	open_babel
openbabel_remIons	open_babel
chembl_structure_pipeline	chembl
gromacs_modify_topology	gromacs
openbabel_remove_protonation_state	open_babel
mdanalysis_ramachandran_protein	mdanalysis
mdanalysis_endtoend	mdanalysis
mdanalysis_cosine_analysis	mdanalysis
mdanalysis_hbonds	mdanalysis
mdanalysis_ramachandran_plot	mdanalysis
mdanalysis_distance	mdanalysis
mdanalysis_dihedral	mdanalysis
openbabel_change_title	open_babel
mdanalysis_rdf	mdanalysis
openbabel_spectrophore_search	open_babel
mdanalysis_angle	mdanalysis
prepare_receptor	autodock_vina
enumerate_charges	RDKit
sdf_to_tab	RDKit
ctb_mordred_descriptors	mordred
ctb_pubchem_download_as_smiles	pubchem
ctb_pubchem_download_assays	pubchem
prepare_ligand	autodock_vina
openbabel_remDuplicates	open_babel
openbabel_filter	open_babel
openbabel_compound_convert	open_babel
openbabel_svg_depiction	open_babel
openbabel_genProp	open_babel
openbabel_obgrep	open_babel
openbabel_remSmall	open_babel
prepare_ligands_for_docking	open_babel
sucos_clustering	SuCOS
sucos_max_score	SuCOS
openbabel_structure_distance_finder	open_babel
ctb_chemfp_mol2fps	chemfp
ctb_chemfp_nxn_clustering	chemfp
ctb_chemfp_butina_clustering	chemfp
ctb_sdf2fps	chemfp
goseq	goseq
bio3d_pca_visualize	bio3d
bio3d_rmsf	bio3d
bio3d_pca	bio3d
bio3d_rmsd	bio3d
bio3d_dccm	bio3d
packmol	PACKMOL-Memgen
get_pdb	pdb
openbabel_multi_obgrep	open_babel
ctb_remIons	open_babel
ctb_subsearch	open_babel
ctb_multi_obgrep	open_babel
ctb_spectrophore_search	open_babel
ctb_confab	open_babel
ctb_online_data_fetch	chemicaltoolbox
ctb_pubchem_download_assays	chemicaltoolbox
ctb_openmg	chemicaltoolbox
ip_landmark_registration	galaxy_image_analysis
plotly_regression_performance_plots	scikit-learn
plotly_ml_performance_plots	scikit-learn
nn_classifier	scikit-learn
svm_classifier	scikit-learn
abims_anova	workflow4metabolomics
Multivariate	workflow4metabolomics
Univariate	workflow4metabolomics
iwtomics_plotwithscale	iwtomics
iwtomics_testandplot	iwtomics
iwtomics_loadandplot	iwtomics
biosigner	workflow4metabolomics
Transformation	workflow4metabolomics
Heatmap	workflow4metabolomics
sklearn_to_categorical	scikit-learn
ml_visualization_ex	scikit-learn
sklearn_lightgbm	scikit-learn
sklearn_train_test_split	scikit-learn
sklearn_model_fit	scikit-learn
sklearn_stacking_ensemble_models	scikit-learn
sklearn_estimator_attributes	scikit-learn
model_prediction	scikit-learn
sklearn_train_test_eval	scikit-learn
sklearn_model_validation	scikit-learn
sklearn_discriminant_classifier	scikit-learn
sklearn_regression_metrics	scikit-learn
sklearn_feature_selection	scikit-learn
sklearn_numeric_clustering	scikit-learn
sklearn_nn_classifier	scikit-learn
sklearn_build_pipeline	scikit-learn
sklearn_searchcv	scikit-learn
sklearn_sample_generator	scikit-learn
sklearn_svm_classifier	scikit-learn
sklearn_pairwise_metrics	scikit-learn
sklearn_ensemble	scikit-learn
sklearn_data_preprocess	scikit-learn
sklearn_clf_metrics	scikit-learn
sklearn_generalized_linear	scikit-learn
sklearn_fitted_model_eval	scikit-learn
sklearn_pca	scikit-learn
keras_train_and_eval	scikit-learn
keras_batch_models	scikit-learn
keras_model_builder	scikit-learn
keras_model_config	scikit-learn
ggplot2_heatmap2	ggplot2
pygenomeTracks	pygenometracks
circos_aln_to_links	circos
circos_binlinks	circos
circos_bundlelinks	circos
circos_gc_skew	circos
circos_resample	circos
circos_wiggle_to_scatter	circos
circos_wiggle_to_stacked	circos
circos_tableviewer	circos
circos_interval_to_text	circos
circos_interval_to_tile	circos
intervene_pairwise	intervene
intervene_upset	intervene
jbrowse_to_standalone	jbrowse
pe_histogram	seqcode
build_ucsc_custom_track_1	UCSC_Genome_Browser_Utilities
jvarkit_wgscoverageplotter	jvarkit
newick_display	newick_utilities
taxonomy_krona_chart	taxonomy_krona_chart
export2graphlan	graphlan
plotly_regression_performance_plots	scikit-learn
graphlan	graphlan
graphlan_annotate	graphlan
krona-text	krona
mummerplot_wrapper	mummer
codeml	paml
iqtree	iqtree
rapidnj	rapidnj
meme_chip	meme
meme_psp_gen	meme
meme_dreme	meme
chipeakanno_annopeaks	chippeakanno
clusterprofiler_bitr	clusterprofiler
clusterprofiler_go	clusterprofiler
fasttree	fasttree
gd_raxml	raxml
raxml	raxml
fetch_jbrowse	apollo-seq
feat_from_gff3	apollo-seq
export	apollo-seq
iframe	apollo-seq
create_or_update	apollo-seq
delete_organism	apollo-seq
create_account	apollo-seq
list_organism	apollo-seq
delete_features	apollo-seq
ip_projective_transformation	scikit-image
ip_image_registration	scikit-image
ip_overlay_images	scikit-image
ip_landmark_registration_ls	scikit-image
ip_localthreshold	scikit-image
ip_threshold	scikit-image
ip_projective_transformation_points	scikit-image
ip_spot_detection_2d	scikit-image
ip_points_association_nn	scikit-image
ip_curve_fitting	scikit-image
cp_cellprofiler	CellProfiler
cp_common	CellProfiler
cp_color_to_gray	CellProfiler
cp_tile	CellProfiler
cp_track_objects	CellProfiler
ip_landmark_registration	CellProfiler
cp_overlay_outlines	CellProfiler
cp_convert_objects_to_image	CellProfiler
cp_display_data_on_image	CellProfiler
cp_enhance_or_suppress_features	CellProfiler
cp_export_to_spreadsheet	CellProfiler
cp_gray_to_color	CellProfiler
cp_identify_primary_objects	CellProfiler
cp_mask_image	CellProfiler
cp_measure_granularity	CellProfiler
cp_measure_image_area_occupied	CellProfiler
cp_measure_image_intensity	CellProfiler
cp_measure_image_quality	CellProfiler
cp_measure_object_intensity	CellProfiler
cp_measure_object_size_shape	CellProfiler
cp_measure_texture	CellProfiler
cp_relate_objects	CellProfiler
cp_save_images	CellProfiler
cp_image_math	CellProfiler
imagej2_binary_to_edm	imagej
imagej2_skeletonize3d	imagej
imagej2_find_edges	imagej
imagej2_shadows	imagej
imagej2_enhance_contrast	imagej
imagej2_find_maxima	imagej
imagej2_watershed_binary	imagej
imagej2_bunwarpj_raw_transform	imagej
imagej2_math	imagej
imagej2_bunwarpj_elastic_transform	imagej
ip_viz_overlay_moving_and_fixed_image	scikit-image
ip_wsi_extract_top_view	scikit-image
imagej2_bunwarpj_adapt_transform	imagej
imagej2_adjust_threshold_binary	imagej
imagej2_bunwarpj_compose_elastic	imagej
imagej2_sharpen	imagej
imagej2_make_binary	imagej
imagej2_bunwarpj_convert_to_raw	imagej
imagej2_bunwarpj_compare_raw	imagej
imagej2_bunwarpj_compare_elastic	imagej
imagej2_analyze_skeleton	imagej
imagej2_smooth	imagej
imagej2_bunwarpj_align	imagej
imagej2_bunwarpj_compose_raw	imagej
imagej2_noise	imagej
imagej2_create_image	imagej
imagej2_analyze_particles_binary	imagej
imagej2_bunwarpj_compose_raw_elastic	imagej
imagej2_bunwarpj_compare_elastic_raw	imagej
ip_detection_viz	scikit-image
ip_histogram_equalization	scikit-image
ip_colocalization	scikit-image
ip_2d_feature_extraction	scikit-image
ip_permutate_axis	scikit-image
ip_labelimage_to_points	scikit-image
ip_points_to_label	scikit-image
ip_concat_channels	scikit-image
ip_scale_image	scikit-image
ip_merge_neighbours_in_label	scikit-image
ip_binary_to_labelimage	scikit-image
ip_2d_filter_segmentation_by_features	scikit-image
ip_2d_split_binaryimage_by_watershed	scikit-image
ip_anisotropic_diffusion	scikit-image
ip_color_deconvolution	scikit-image
ip_filter_standard	galaxy_image_analysis
ip_points_to_labe	galaxy_image_analysis
imagecoordinates_flipaxis	galaxy_image_analysis
ip_coordinates_of_roi	galaxy_image_analysis
ip_count_objects	galaxy_image_analysis
