sg	trm	hm	xyz
38	-c,b,a	C 2 m m	x,y,z;x,-y,-z;x,-y,z;x,y,-z;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
38	b,c,a	C m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
38	a,-c,b	A m 2 m	x,y,z;-x,y,-z;x,y,-z;-x,y,z;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
39	a,b,c	A e m 2	x,y,z;-x,-y,z;x,-y+1/2,z;-x,y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y,z+1/2;-x,y,z+1/2
39	b,a,-c	B m e 2	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x,y,z-1/2;x,-y,z-1/2
39	c,a,b	B 2 e m	x,y,z;x,-y,-z;x,y,-z+1/2;x,-y,z+1/2;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z;x+1/2,-y,z
39	-c,b,a	C 2 m e	x,y,z;x,-y,-z;x,-y+1/2,z;x,y+1/2,-z;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y,z;x-1/2,y,-z
39	b,c,a	C m 2 e	x,y,z;-x,y,-z;-x+1/2,y,z;x+1/2,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x,y+1/2,z;x,y+1/2,-z
39	a,-c,b	A e 2 m	x,y,z;-x,y,-z;x,y,-z+1/2;-x,y,z+1/2;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x,y-1/2,-z;-x,y-1/2,z
40	a,b,c	A m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
40	b,a,-c	B b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x+1/2,y+1/2,z-1/2;x+1/2,-y+1/2,z-1/2
40	c,a,b	B 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
40	-c,b,a	C 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y+1/2,z+1/2;x-1/2,y+1/2,-z+1/2
40	b,c,a	C c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
40	a,-c,b	A m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x+1/2,y-1/2,-z+1/2;-x+1/2,y-1/2,z+1/2
41	a,b,c	A e a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2
41	b,a,-c	B b e 2	x,y,z;-x,-y,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z-1/2;-x+1/2,-y,z-1/2;-x,y+1/2,z-1/2;x,-y+1/2,z-1/2
41	c,a,b	B 2 e b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z
41	-c,b,a	C 2 c e	x,y,z;x,-y,-z;x,-y+1/2,z+1/2;x,y+1/2,-z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z;x-1/2,-y,z+1/2;x-1/2,y,-z+1/2
41	b,c,a	C c 2 e	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x,y+1/2,z+1/2;x,y+1/2,-z+1/2
41	a,-c,b	A e 2 a	x,y,z;-x,y,-z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x,y-1/2,z+1/2;-x,y-1/2,-z+1/2;x+1/2,y-1/2,-z;-x+1/2,y-1/2,z
42	a,b,c	F m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
42	c,a,b	F 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
42	b,c,a	F m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
43	a,b,c	F d d 2	x,y,z;-x,-y,z;x+1/4,-y+1/4,z+1/4;-x+1/4,y+1/4,z+1/4;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/4,-y+3/4,z+3/4;-x+1/4,y+3/4,z+3/4;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+3/4,-y+1/4,z+3/4;-x+3/4,y+1/4,z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+3/4,-y+3/4,z+1/4;-x+3/4,y+3/4,z+1/4
43	c,a,b	F 2 d d	x,y,z;x,-y,-z;x+1/4,y+1/4,-z+1/4;x+1/4,-y+1/4,z+1/4;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;x+3/4,y+1/4,-z+3/4;x+3/4,-y+1/4,z+3/4;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;x+3/4,y+3/4,-z+1/4;x+3/4,-y+3/4,z+1/4;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x+1/4,y+3/4,-z+3/4;x+1/4,-y+3/4,z+3/4
43	b,c,a	F d 2 d	x,y,z;-x,y,-z;-x+1/4,y+1/4,z+1/4;x+1/4,y+1/4,-z+1/4;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+3/4,y+3/4,z+1/4;x+3/4,y+3/4,-z+1/4;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x+1/4,y+3/4,z+3/4;x+1/4,y+3/4,-z+3/4;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+3/4,y+1/4,z+3/4;x+3/4,y+1/4,-z+3/4
44	a,b,c	I m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
44	c,a,b	I 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
44	b,c,a	I m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
45	a,b,c	I b a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y,z+1/2;-x,y,z+1/2
45	c,a,b	I 2 c b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z;x+1/2,-y,z
45	b,c,a	I c 2 a	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,y+1/2,z;x,y+1/2,-z
46	a,b,c	I m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
46	b,a,-c	I b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y+1/2,z-1/2;-x+1/2,-y+1/2,z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
46	c,a,b	I 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
46	-c,b,a	I 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2;x-1/2,y+1/2,z+1/2;x-1/2,-y+1/2,-z+1/2;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
46	b,c,a	I c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
46	a,-c,b	I m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z;x+1/2,y-1/2,z+1/2;-x+1/2,y-1/2,-z+1/2;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
47	a,b,c	P m m m	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;x,-y,z;-x,y,z
48	a,b,c	P n n n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x+1/2,y,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;x+1/2,-y,z+1/2;-x,y+1/2,z+1/2
48	a,b,c;1/4,1/4,1/4	P n n n :1	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x-1/2,-y-1/2,-z-1/2;x+1/2,y+1/2,-z-1/2;x+1/2,-y-1/2,z+1/2;-x-1/2,y+1/2,z+1/2
49	a,b,c	P c c m	x,y,z;-x,-y,z;-x,y,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y,-z;x,-y,z+1/2;-x,y,z+1/2
49	c,a,b	P m a a	x,y,z;x,-y,-z;-x+1/2,-y,z;-x+1/2,y,-z;-x,-y,-z;-x,y,z;x+1/2,y,-z;x+1/2,-y,z
49	b,c,a	P b m b	x,y,z;-x,y,-z;x,-y+1/2,-z;-x,-y+1/2,z;-x,-y,-z;x,-y,z;-x,y+1/2,z;x,y+1/2,-z
50	a,b,c	P b a n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x+1/2,y,-z;x,-y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;x+1/2,-y,z;-x,y+1/2,z
50	c,a,b	P n c b :2	x,y,z;x,-y+1/2,-z+1/2;-x,-y+1/2,z;-x,y,-z+1/2;-x,-y,-z;-x,y+1/2,z+1/2;x,y+1/2,-z;x,-y,z+1/2
50	b,c,a	P c n a :2	x,y,z;-x+1/2,y,-z+1/2;x,-y,-z+1/2;-x+1/2,-y,z;-x,-y,-z;x+1/2,-y,z+1/2;-x,y,z+1/2;x+1/2,y,-z
50	a,b,c;1/4,1/4,0	P b a n :1	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;-x-1/2,-y-1/2,-z;x+1/2,y+1/2,-z;x+1/2,-y-1/2,z;-x-1/2,y+1/2,z
50	c,a,b;1/4,1/4,0	P n c b :1	x,y,z;x,-y,-z;-x,-y,z;-x,y,-z;-x,-y-1/2,-z-1/2;-x,y+1/2,z+1/2;x,y+1/2,-z-1/2;x,-y-1/2,z+1/2
50	b,c,a;1/4,1/4,0	P c n a :1	x,y,z;-x,y,-z;x,-y,-z;-x,-y,z;-x-1/2,-y,-z-1/2;x+1/2,-y,z+1/2;-x-1/2,y,z+1/2;x+1/2,y,-z-1/2
51	a,b,c	P m m a	x,y,z;-x+1/2,-y,z;-x,y,-z;x+1/2,-y,-z;-x,-y,-z;x+1/2,y,-z;x,-y,z;-x+1/2,y,z
51	b,a,-c	P m m b	x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z
51	c,a,b	P b m m	x,y,z;x,-y+1/2,-z;-x,-y,z;-x,y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x,y,-z;x,-y+1/2,z
51	-c,b,a	P c m m	x,y,z;x,-y,-z+1/2;-x,y,-z;-x,-y,z+1/2;-x,-y,-z;-x,y,z+1/2;x,-y,z;x,y,-z+1/2
51	b,c,a	P m c m	x,y,z;-x,y,-z+1/2;x,-y,-z;-x,-y,z+1/2;-x,-y,-z;x,-y,z+1/2;-x,y,z;x,y,-z+1/2
51	a,-c,b	P m a m	x,y,z;-x+1/2,y,-z;-x,-y,z;x+1/2,-y,-z;-x,-y,-z;x+1/2,-y,z;x,y,-z;-x+1/2,y,z
52	a,b,c	P n n a	x,y,z;-x+1/2,-y,z;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z+1/2
52	b,a,-c	P n n b	x,y,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z-1/2;-x+1/2,y,-z-1/2;-x,-y,-z;x,y+1/2,-z;-x+1/2,y+1/2,z-1/2;x+1/2,-y,z-1/2
52	c,a,b	P b n n	x,y,z;x,-y+1/2,-z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;-x,y+1/2,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y,z+1/2
52	-c,b,a	P c n n	x,y,z;x,-y,-z+1/2;-x-1/2,y+1/2,-z+1/2;-x-1/2,-y+1/2,z;-x,-y,-z;-x,y,z+1/2;x-1/2,-y+1/2,z+1/2;x-1/2,y+1/2,-z
52	b,c,a	P n c n	x,y,z;-x,y,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z;-x,-y,-z;x,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z
52	a,-c,b	P n a n	x,y,z;-x+1/2,y,-z;-x+1/2,-y-1/2,z+1/2;x,-y-1/2,-z+1/2;-x,-y,-z;x+1/2,-y,z;x+1/2,y-1/2,-z+1/2;-x,y-1/2,z+1/2
53	a,b,c	P m n a	x,y,z;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x,-y,-z;-x,-y,-z;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2;-x,y,z
53	b,a,-c	P n m b	x,y,z;-x,-y+1/2,z-1/2;x,-y+1/2,-z-1/2;-x,y,-z;-x,-y,-z;x,y+1/2,-z-1/2;-x,y+1/2,z-1/2;x,-y,z
53	c,a,b	P b m n	x,y,z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,z;-x,y,-z;-x,-y,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z;x,-y,z
53	-c,b,a	P c n m	x,y,z;x-1/2,-y,-z+1/2;-x-1/2,y,-z+1/2;-x,-y,z;-x,-y,-z;-x-1/2,y,z+1/2;x-1/2,-y,z+1/2;x,y,-z
53	b,c,a	P n c m	x,y,z;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,z;-x,-y,-z;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,y,-z
53	a,-c,b	P m a n	x,y,z;-x+1/2,y-1/2,-z;-x+1/2,-y-1/2,z;x,-y,-z;-x,-y,-z;x+1/2,-y-1/2,z;x+1/2,y-1/2,-z;-x,y,z
54	a,b,c	P c c a	x,y,z;-x+1/2,-y,z;-x,y,-z+1/2;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,y,-z;x,-y,z+1/2;-x+1/2,y,z+1/2
54	b,a,-c	P c c b	x,y,z;-x,-y+1/2,z;x,-y,-z-1/2;-x,y+1/2,-z-1/2;-x,-y,-z;x,y+1/2,-z;-x,y,z-1/2;x,-y+1/2,z-1/2
54	c,a,b	P b a a	x,y,z;x,-y+1/2,-z;-x+1/2,-y,z;-x+1/2,y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,-z;x+1/2,-y+1/2,z
54	-c,b,a	P c a a	x,y,z;x,-y,-z+1/2;-x-1/2,y,-z;-x-1/2,-y,z+1/2;-x,-y,-z;-x,y,z+1/2;x-1/2,-y,z;x-1/2,y,-z+1/2
54	b,c,a	P b c b	x,y,z;-x,y,-z+1/2;x,-y+1/2,-z;-x,-y+1/2,z+1/2;-x,-y,-z;x,-y,z+1/2;-x,y+1/2,z;x,y+1/2,-z+1/2
54	a,-c,b	P b a b	x,y,z;-x+1/2,y,-z;-x,-y-1/2,z;x+1/2,-y-1/2,-z;-x,-y,-z;x+1/2,-y,z;x,y-1/2,-z;-x+1/2,y-1/2,z
55	a,b,c	P b a m	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x,-y,-z;x,y,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
55	c,a,b	P m c b	x,y,z;x,-y,-z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;-x,y,z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
55	b,c,a	P c m a	x,y,z;-x,y,-z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2;-x,-y,-z;x,-y,z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
56	a,b,c	P c c n	x,y,z;-x+1/2,-y+1/2,z;-x,y+1/2,-z+1/2;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;x,-y+1/2,z+1/2;-x+1/2,y,z+1/2
56	c,a,b	P n a a	x,y,z;x,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;-x,y+1/2,z+1/2;x+1/2,y,-z+1/2;x+1/2,-y+1/2,z
56	b,c,a	P b n b	x,y,z;-x+1/2,y,-z+1/2;x+1/2,-y+1/2,-z;-x,-y+1/2,z+1/2;-x,-y,-z;x+1/2,-y,z+1/2;-x+1/2,y+1/2,z;x,y+1/2,-z+1/2
57	a,b,c	P b c m	x,y,z;-x,-y,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z;-x,-y,-z;x,y,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z
57	b,a,-c	P c a m	x,y,z;-x,-y,z-1/2;x+1/2,-y,-z-1/2;-x+1/2,y,-z;-x,-y,-z;x,y,-z-1/2;-x+1/2,y,z-1/2;x+1/2,-y,z
57	c,a,b	P m c a	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z+1/2;-x,y,-z+1/2;-x,-y,-z;-x+1/2,y,z;x+1/2,y,-z+1/2;x,-y,z+1/2
57	-c,b,a	P m a b	x,y,z;x-1/2,-y,-z;-x-1/2,y+1/2,-z;-x,-y+1/2,z;-x,-y,-z;-x-1/2,y,z;x-1/2,-y+1/2,z;x,y+1/2,-z
57	b,c,a	P b m a	x,y,z;-x,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y,z;-x,-y,-z;x,-y+1/2,z;-x+1/2,y+1/2,z;x+1/2,y,-z
57	a,-c,b	P c m b	x,y,z;-x,y-1/2,-z;-x,-y-1/2,z+1/2;x,-y,-z+1/2;-x,-y,-z;x,-y-1/2,z;x,y-1/2,-z+1/2;-x,y,z+1/2
58	a,b,c	P n n m	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x,-y,-z;x,y,-z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
58	c,a,b	P m n n	x,y,z;x,-y,-z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;-x,y,z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
58	b,c,a	P n m n	x,y,z;-x,y,-z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x,-y,-z;x,-y,z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
59	a,b,c	P m m n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-x,y+1/2,-z;x+1/2,-y,-z;-x,-y,-z;x+1/2,y+1/2,-z;x,-y+1/2,z;-x+1/2,y,z
59	c,a,b	P n m m :2	x,y,z;x,-y+1/2,-z+1/2;-x,-y,z+1/2;-x,y+1/2,-z;-x,-y,-z;-x,y+1/2,z+1/2;x,y,-z+1/2;x,-y+1/2,z
59	b,c,a	P m n m :2	x,y,z;-x+1/2,y,-z+1/2;x+1/2,-y,-z;-x,-y,z+1/2;-x,-y,-z;x+1/2,-y,z+1/2;-x+1/2,y,z;x,y,-z+1/2
59	a,b,c;1/4,1/4,0	P m m n :1	x,y,z;-x,-y,z;-x-1/2,y+1/2,-z;x+1/2,-y-1/2,-z;-x-1/2,-y-1/2,-z;x+1/2,y+1/2,-z;x,-y,z;-x,y,z
59	c,a,b;1/4,1/4,0	P n m m :1	x,y,z;x,-y,-z;-x,-y-1/2,z+1/2;-x,y+1/2,-z-1/2;-x,-y-1/2,-z-1/2;-x,y+1/2,z+1/2;x,y,-z;x,-y,z
59	b,c,a;1/4,1/4,0	P m n m :1	x,y,z;-x,y,-z;x+1/2,-y,-z-1/2;-x-1/2,-y,z+1/2;-x-1/2,-y,-z-1/2;x+1/2,-y,z+1/2;-x,y,z;x,y,-z
60	a,b,c	P b c n	x,y,z;-x+1/2,-y+1/2,z+1/2;-x,y,-z+1/2;x+1/2,-y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;x,-y,z+1/2;-x+1/2,y+1/2,z
60	b,a,-c	P c a n	x,y,z;-x+1/2,-y+1/2,z-1/2;x,-y,-z-1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z-1/2;-x,y,z-1/2;x+1/2,-y+1/2,z
60	c,a,b	P n c a	x,y,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z;-x,y+1/2,-z+1/2;-x,-y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z;x,-y+1/2,z+1/2
60	-c,b,a	P n a b	x,y,z;x-1/2,-y+1/2,-z+1/2;-x-1/2,y,-z;-x,-y+1/2,z+1/2;-x,-y,-z;-x-1/2,y+1/2,z+1/2;x-1/2,-y,z;x,y+1/2,-z+1/2
60	b,c,a	P b n a	x,y,z;-x+1/2,y+1/2,-z+1/2;x,-y+1/2,-z;-x+1/2,-y,z+1/2;-x,-y,-z;x+1/2,-y+1/2,z+1/2;-x,y+1/2,z;x+1/2,y,-z+1/2
60	a,-c,b	P c n b	x,y,z;-x+1/2,y-1/2,-z+1/2;-x,-y-1/2,z;x+1/2,-y,-z+1/2;-x,-y,-z;x+1/2,-y-1/2,z+1/2;x,y-1/2,-z;-x+1/2,y,z+1/2
61	a,b,c	P b c a	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;-x,-y,-z;x+1/2,y,-z+1/2;x,-y+1/2,z+1/2;-x+1/2,y+1/2,z
61	b,a,-c	P c a b	x,y,z;-x,-y+1/2,z-1/2;x+1/2,-y,-z-1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x,y+1/2,-z-1/2;-x+1/2,y,z-1/2;x+1/2,-y+1/2,z
62	a,b,c	P n m a	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z;x+1/2,-y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;x,-y+1/2,z;-x+1/2,y+1/2,z+1/2
62	b,a,-c	P m n b	x,y,z;-x,-y+1/2,z-1/2;x+1/2,-y,-z;-x+1/2,y+1/2,-z-1/2;-x,-y,-z;x,y+1/2,-z-1/2;-x+1/2,y,z;x+1/2,-y+1/2,z-1/2
62	c,a,b	P b n m	x,y,z;x+1/2,-y+1/2,-z;-x,-y,z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;-x+1/2,y+1/2,z;x,y,-z+1/2;x+1/2,-y+1/2,z+1/2
62	-c,b,a	P c m n	x,y,z;x-1/2,-y,-z+1/2;-x,y+1/2,-z;-x-1/2,-y+1/2,z+1/2;-x,-y,-z;-x-1/2,y,z+1/2;x,-y+1/2,z;x-1/2,y+1/2,-z+1/2
62	b,c,a	P m c n	x,y,z;-x,y+1/2,-z+1/2;x+1/2,-y,-z;-x+1/2,-y+1/2,z+1/2;-x,-y,-z;x,-y+1/2,z+1/2;-x+1/2,y,z;x+1/2,y+1/2,-z+1/2
62	a,-c,b	P n a m	x,y,z;-x+1/2,y-1/2,-z;-x,-y,z+1/2;x+1/2,-y-1/2,-z+1/2;-x,-y,-z;x+1/2,-y-1/2,z;x,y,-z+1/2;-x+1/2,y-1/2,z+1/2
63	a,b,c	C m c m	x,y,z;-x,-y,z+1/2;-x,y,-z+1/2;x,-y,-z;-x,-y,-z;x,y,-z+1/2;x,-y,z+1/2;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z
63	b,a,-c	C c m m	x,y,z;-x,-y,z-1/2;x,-y,-z-1/2;-x,y,-z;-x,-y,-z;x,y,-z-1/2;-x,y,z-1/2;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z-1/2;x+1/2,-y+1/2,-z-1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z-1/2;-x+1/2,y+1/2,z-1/2;x+1/2,-y+1/2,z
63	c,a,b	A m m a	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z;-x,y,-z;-x,-y,-z;-x+1/2,y,z;x+1/2,y,-z;x,-y,z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2;x,-y+1/2,z+1/2
